cluster_id,min_latitude,max_latitude,min_longitude,max_longitude,approx_area_km2,approx_diameter,Ice_Stable_percentage,highest_temperature,average_temperature
376,-80.5693,-80.1821,133.3891,137.6176,439.64,23.66,100.0,83.45,56.01
273,-88.8933,-88.5526,158.9625,177.0981,435.0,23.53,100.0,73.6,44.33
41,-82.1866,-81.7467,23.9301,26.2666,433.84,23.5,100.0,84.68,61.21
42,-80.3754,-79.9944,41.1706,43.7017,421.08,23.15,100.0,79.8,55.33
358,-83.4607,-83.0271,147.4621,151.5293,385.7,22.16,100.0,90.03,59.73
230,-84.3121,-83.934,-92.0746,-85.093,370.62,21.72,100.0,69.22,48.73
86,-84.7489,-84.09,-39.7052,-34.9969,360.76,21.43,100.0,77.97,49.57
54,-80.9754,-80.5548,44.184,47.2201,357.86,21.35,100.0,82.99,59.53
340,-84.8901,-84.5264,148.1796,152.2045,347.42,21.03,100.0,84.45,59.87
34,-82.454,-82.001,8.6579,13.4452,347.42,21.03,100.0,94.64,62.63
214,-89.3904,-88.8651,7.1717,31.6331,324.8,20.34,100.0,54.17,37.27
236,-81.2885,-80.7837,88.0153,90.1442,306.82,19.77,100.0,83.7,58.54
217,-89.2479,-88.8667,-30.9022,-10.704,303.34,19.65,100.0,66.43,41.95
263,-87.098,-86.7929,104.2419,110.7255,296.96,19.45,100.0,76.18,53.23
274,-87.6314,-87.2526,116.0706,121.6571,294.06,19.35,100.0,77.69,48.8
90,-85.2128,-84.7237,-38.2929,-33.0239,292.9,19.31,100.0,84.08,52.07
60,-81.3233,-80.9629,43.4698,48.0233,291.74,19.27,100.0,91.88,63.47
31,-80.5085,-80.1318,35.6032,39.1417,269.7,18.53,100.0,88.35,61.3
126,-85.5843,-85.1035,46.7212,51.698,258.68,18.15,100.0,87.92,61.19
22,-78.1874,-77.7367,-47.7051,-46.2326,258.1,18.13,100.0,86.22,59.78
172,-85.0912,-84.8163,-70.9986,-66.9437,253.46,17.96,100.0,72.52,50.19
13,-81.3622,-80.9881,-4.8247,-1.2053,249.4,17.82,100.0,91.35,63.12
66,-83.9807,-83.5159,-23.1715,-18.9509,248.24,17.78,100.0,95.62,62.2
356,-82.4161,-82.1791,-139.287,-135.3508,247.08,17.74,100.0,73.43,52.56
275,-88.5477,-88.0764,144.1278,151.1477,245.92,17.7,100.0,61.26,41.03
108,-85.4956,-85.2451,-44.6102,-37.0057,240.12,17.49,100.0,75.56,50.57
155,-87.644,-87.219,-33.2527,-25.6791,231.42,17.17,100.0,64.98,40.56
225,-89.2201,-88.8651,-49.9235,-35.0958,225.62,16.95,100.0,75.18,47.49
2,-80.7563,-80.4099,8.6569,11.4773,212.28,16.44,100.0,90.94,63.31
46,-83.0944,-82.6278,6.8084,9.7594,202.42,16.05,100.0,93.45,66.18
9,-81.0571,-80.7334,-10.9968,-9.6285,194.88,15.75,100.0,87.47,57.31
343,-84.5252,-84.2487,-153.9214,-150.7014,189.08,15.52,100.0,87.88,60.08
203,-83.808,-83.4249,-81.0565,-78.893,187.92,15.47,100.0,78.42,48.53
0,-79.5829,-79.3271,-22.3653,-19.2772,186.76,15.42,100.0,86.28,59.88
100,-86.167,-85.7779,-16.4391,-12.2004,183.86,15.3,100.0,70.43,46.86
179,-88.0256,-87.7264,-44.2182,-32.0213,175.16,14.93,100.0,80.07,46.79
49,-80.2719,-79.9158,45.1358,46.2841,174.58,14.91,100.0,75.71,56.16
105,-84.06,-83.7701,-52.1296,-49.7822,163.56,14.43,100.0,90.34,57.56
227,-83.5691,-83.2718,-86.0778,-83.5421,161.82,14.35,100.0,66.05,46.45
317,-84.4766,-84.1736,122.9527,124.8,161.24,14.33,100.0,66.73,45.77
381,-82.1869,-81.9303,167.5196,169.9522,158.92,14.22,100.0,89.1,62.78
120,-84.4556,-84.0565,54.6813,57.704,156.6,14.12,100.0,91.54,55.53
17,-81.6319,-81.1701,1.0296,3.4539,146.74,13.67,100.0,95.73,64.15
353,-84.8005,-84.5844,173.9629,176.8135,143.84,13.53,100.0,61.8,41.45
73,-84.7569,-84.5106,0.6431,3.5538,135.14,13.12,100.0,92.58,60.46
234,-88.4058,-88.1245,77.7594,83.9515,132.24,12.98,100.0,81.27,45.71
185,-86.8825,-86.6809,59.3621,62.9586,122.96,12.51,100.0,66.22,38.91
129,-84.9156,-84.6588,-54.0835,-51.8915,116.58,12.18,100.0,80.89,49.41
71,-84.3508,-84.1329,-14.2108,-12.0909,116.58,12.18,100.0,86.69,55.04
170,-84.5839,-84.2993,-72.6986,-68.7525,113.68,12.03,100.0,64.93,40.82
250,-85.3313,-85.0721,-94.2196,-91.9313,113.68,12.03,100.0,69.44,49.64
27,-81.943,-81.7149,-10.993,-9.0132,112.52,11.97,100.0,80.15,57.37
198,-88.8329,-88.5652,-19.0751,-9.0715,109.04,11.78,100.0,91.73,46.17
281,-88.5976,-88.1562,-178.7885,-171.4164,104.98,11.56,100.0,56.31,40.04
142,-81.428,-81.2597,70.7894,72.8081,102.66,11.43,100.0,95.55,66.85
344,-85.0426,-84.6745,164.1553,167.0435,95.7,11.04,100.0,86.07,55.48
278,-84.6855,-84.3538,-108.0934,-104.1236,95.12,11.01,100.0,86.72,58.0
191,-86.9942,-86.7095,-64.8659,-61.5423,94.54,10.97,100.0,66.77,47.76
58,-78.8124,-78.6301,-55.8569,-54.7689,86.42,10.49,100.0,86.85,61.02
74,-80.1747,-79.9318,-59.0143,-57.2438,85.26,10.42,100.0,90.76,63.94
1,-78.4072,-78.0949,-36.8432,-35.6332,82.36,10.24,100.0,83.82,59.57
63,-80.5385,-80.3746,48.6042,49.5362,81.2,10.17,100.0,85.84,53.1
350,-82.5729,-82.3665,-133.7256,-132.3906,80.04,10.1,100.0,85.99,55.02
15,-78.5993,-78.434,-40.505,-39.5152,78.3,9.98,100.0,90.91,58.63
11,-81.0502,-80.8931,1.8715,2.728,77.14,9.91,100.0,77.59,54.77
103,-84.9914,-84.8532,-41.31,-39.3643,75.4,9.8,100.0,80.25,45.41
292,-86.7317,-86.4599,-122.9477,-121.091,70.76,9.49,100.0,59.66,41.52
197,-88.642,-88.4402,-31.4728,-23.7494,69.6,9.41,100.0,59.95,38.2
137,-83.7816,-83.4274,-62.8908,-61.0299,68.44,9.34,100.0,86.03,54.54
252,-87.7349,-87.4771,-99.4393,-95.2174,66.7,9.22,100.0,73.56,46.12
297,-86.3437,-86.2269,-126.5417,-123.6663,63.22,8.97,100.0,81.7,47.4
322,-85.7382,-85.4722,-150.1721,-147.3136,62.06,8.89,100.0,71.16,48.22
28,-81.9206,-81.7003,12.2107,13.158,60.9,8.81,100.0,83.45,57.27
380,-80.7154,-80.5561,139.978,141.7533,60.32,8.76,100.0,87.31,61.36
267,-88.9812,-88.831,147.4606,153.8482,60.32,8.76,100.0,76.88,50.42
19,-78.5013,-78.2056,-43.349,-42.5519,58.0,8.59,100.0,87.86,62.6
270,-84.6616,-84.4615,-103.2738,-101.2871,58.0,8.59,100.0,84.2,58.09
164,-86.9669,-86.8458,46.7183,49.41,56.84,8.51,100.0,89.83,48.38
